running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016943.0020
[None, u'Launching', 15.634244918823242]
['pilot.0000', u'Launching', 15.64365005493164]
['pilot.0000', u'PendingActive', 36.477298974990845]
['unit.000619', u'pilot.0000', u'PendingInputStaging', 38.97589898109436]
['unit.000923', u'pilot.0000', u'AgentStagingInputPending', 38.976829051971436]
['unit.000387', u'pilot.0000', u'PendingInputStaging', 38.97725701332092]
['unit.000964', u'pilot.0000', u'PendingInputStaging', 38.978951930999756]
['unit.000792', u'pilot.0000', u'AgentStagingInputPending', 38.97924304008484]
['unit.000553', u'pilot.0000', u'StagingInput', 38.98145794868469]
['unit.000963', u'pilot.0000', u'StagingInput', 38.982154846191406]
['unit.000619', u'pilot.0000', u'AgentStagingInputPending', 43.87156105041504]
['unit.000500', u'pilot.0000', u'AgentStagingInputPending', 43.87252187728882]
['unit.000971', u'pilot.0000', u'PendingInputStaging', 43.87256693840027]
['unit.000554', u'pilot.0000', u'AgentStagingInputPending', 43.872599840164185]
['unit.000757', u'pilot.0000', u'AgentStagingInputPending', 43.87269687652588]
['unit.000387', u'pilot.0000', u'AgentStagingInputPending', 43.87274098396301]
['unit.000964', u'pilot.0000', u'AgentStagingInputPending', 43.874143838882446]
['unit.000790', u'pilot.0000', u'AgentStagingInputPending', 43.874387979507446]
['unit.000681', u'pilot.0000', u'PendingInputStaging', 43.8751859664917]
['unit.000809', u'pilot.0000', u'PendingInputStaging', 43.87583684921265]
['unit.000555', u'pilot.0000', u'AgentStagingInputPending', 43.87600898742676]
['unit.000556', u'pilot.0000', u'PendingInputStaging', 43.87604093551636]
['unit.000553', u'pilot.0000', u'AgentStagingInputPending', 43.87607288360596]
['unit.000965', u'pilot.0000', u'AgentStagingInputPending', 43.87652587890625]
['unit.000963', u'pilot.0000', u'AgentStagingInputPending', 43.87657594680786]
['unit.000881', u'pilot.0000', u'StagingInput', 43.87704801559448]
['unit.000685', u'pilot.0000', u'AgentStagingInputPending', 49.74132585525513]
['unit.000818', u'pilot.0000', u'AgentStagingInputPending', 49.741878032684326]
['unit.000971', u'pilot.0000', u'AgentStagingInputPending', 49.74226999282837]
['unit.000992', u'pilot.0000', u'PendingInputStaging', 49.7423529624939]
['unit.000692', u'pilot.0000', u'AgentStagingInputPending', 49.743610858917236]
['unit.000968', u'pilot.0000', u'AgentStagingInputPending', 49.7444589138031]
['unit.000540', u'pilot.0000', u'PendingInputStaging', 49.74462604522705]
['unit.000398', u'pilot.0000', u'StagingInput', 49.74478101730347]
['unit.000388', u'pilot.0000', u'PendingInputStaging', 49.7455198764801]
['unit.000681', u'pilot.0000', u'AgentStagingInputPending', 49.74602794647217]
['unit.000748', u'pilot.0000', u'StagingInput', 49.74683403968811]
['unit.000809', u'pilot.0000', u'AgentStagingInputPending', 49.74706697463989]
['unit.000557', u'pilot.0000', u'AgentStagingInputPending', 49.74734807014465]
['unit.000556', u'pilot.0000', u'AgentStagingInputPending', 49.74738693237305]
['unit.000559', u'pilot.0000', u'PendingInputStaging', 49.747453927993774]
['unit.000558', u'pilot.0000', u'AgentStagingInputPending', 49.747488021850586]
['unit.000881', u'pilot.0000', u'AgentStagingInputPending', 49.74874687194824]
['unit.000896', u'pilot.0000', u'PendingInputStaging', 58.08526086807251]
['unit.000992', u'pilot.0000', u'StagingInput', 58.08556389808655]
['unit.000398', u'pilot.0000', u'AgentStagingInputPending', 58.08769488334656]
['unit.000748', u'pilot.0000', u'AgentStagingInputPending', 58.08945989608765]
['unit.000341', u'pilot.0000', u'PendingInputStaging', 58.08950400352478]
['unit.000559', u'pilot.0000', u'StagingInput', 58.08989691734314]
['unit.000944', u'pilot.0000', u'PendingInputStaging', 73.19914889335632]
['unit.000563', u'pilot.0000', u'PendingInputStaging', 73.1997299194336]
['unit.000896', u'pilot.0000', u'AgentStagingInputPending', 73.19994497299194]
['unit.000972', u'pilot.0000', u'StagingInput', 73.20006585121155]
['unit.000992', u'pilot.0000', u'AgentStagingInputPending', 73.20016884803772]
['unit.001009', u'pilot.0000', u'StagingInput', 73.20098304748535]
['unit.000691', u'pilot.0000', u'AgentStagingInputPending', 73.20107293128967]
['unit.001001', u'pilot.0000', u'PendingInputStaging', 73.20153284072876]
['unit.000540', u'pilot.0000', u'AgentStagingInputPending', 73.20177698135376]
['unit.000869', u'pilot.0000', u'PendingInputStaging', 73.20185399055481]
['unit.000562', u'pilot.0000', u'AgentStagingInputPending', 73.2020218372345]
['unit.000633', u'pilot.0000', u'AgentStagingInputPending', 73.20217990875244]
['unit.000388', u'pilot.0000', u'AgentStagingInputPending', 73.20237803459167]
['unit.000800', u'pilot.0000', u'AgentStagingInputPending', 73.20240187644958]
['unit.000341', u'pilot.0000', u'AgentStagingInputPending', 73.20323586463928]
['unit.000559', u'pilot.0000', u'AgentStagingInputPending', 73.20353889465332]
['unit.000167', u'pilot.0000', u'AgentStagingInputPending', 73.20362091064453]
['unit.000586', u'pilot.0000', u'AgentStagingInputPending', 73.20426106452942]
['unit.000081', u'pilot.0000', u'PendingInputStaging', 82.90877890586853]
['unit.000944', u'pilot.0000', u'AgentStagingInputPending', 82.90959095954895]
['unit.000836', u'pilot.0000', u'AgentStagingInputPending', 82.90976095199585]
['unit.000813', u'pilot.0000', u'PendingInputStaging', 82.91001796722412]
['unit.000817', u'pilot.0000', u'AgentStagingInputPending', 82.91038489341736]
['unit.000563', u'pilot.0000', u'AgentStagingInputPending', 82.91041398048401]
['unit.000614', u'pilot.0000', u'AgentStagingInputPending', 82.91047787666321]
['unit.000389', u'pilot.0000', u'AgentStagingInputPending', 82.91068291664124]
['unit.000972', u'pilot.0000', u'AgentStagingInputPending', 82.91080403327942]
['unit.000712', u'pilot.0000', u'StagingInput', 82.91137290000916]
['unit.000679', u'pilot.0000', u'AgentStagingInputPending', 82.91152906417847]
['unit.001000', u'pilot.0000', u'AgentStagingInputPending', 82.91188502311707]
['unit.001009', u'pilot.0000', u'AgentStagingInputPending', 82.91196084022522]
['unit.001001', u'pilot.0000', u'AgentStagingInputPending', 82.91274690628052]
['unit.000869', u'pilot.0000', u'AgentStagingInputPending', 82.9135160446167]
['unit.000564', u'pilot.0000', u'AgentStagingInputPending', 82.91373586654663]
['unit.000565', u'pilot.0000', u'AgentStagingInputPending', 82.9137659072876]
['unit.000566', u'pilot.0000', u'AgentStagingInputPending', 82.91379189491272]
['unit.000567', u'pilot.0000', u'AgentStagingInputPending', 82.91382598876953]
['unit.000568', u'pilot.0000', u'PendingInputStaging', 82.91385197639465]
['unit.000803', u'pilot.0000', u'AgentStagingInputPending', 82.91399598121643]
['unit.000143', u'pilot.0000', u'AgentStagingInputPending', 82.91404986381531]
['unit.000216', u'pilot.0000', u'AgentStagingInputPending', 82.91443085670471]
['unit.000775', u'pilot.0000', u'PendingInputStaging', 82.91510605812073]
['unit.000510', u'pilot.0000', u'AgentStagingInputPending', 82.9163658618927]
['unit.000729', u'pilot.0000', u'AgentStagingInputPending', 82.91647005081177]
['unit.000778', u'pilot.0000', u'PendingInputStaging', 82.91679406166077]
['unit.000762', u'pilot.0000', u'AgentStagingInputPending', 82.91690492630005]
['unit.000081', u'pilot.0000', u'AgentStagingInputPending', 88.98006391525269]
['unit.000985', u'pilot.0000', u'AgentStagingInputPending', 88.98058986663818]
['unit.000813', u'pilot.0000', u'AgentStagingInputPending', 88.98064184188843]
['unit.000922', u'pilot.0000', u'PendingInputStaging', 88.98125100135803]
['unit.000760', u'pilot.0000', u'AgentStagingInputPending', 88.98132801055908]
['unit.000571', u'pilot.0000', u'PendingInputStaging', 88.98190689086914]
