running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016958.0002
['pilot.0000', u'PendingLaunch', 15.02113389968872]
['pilot.0000', u'Launching', 16.09566307067871]
['pilot.0000', u'PendingActive', 41.52435111999512]
['unit.001762', u'pilot.0000', u'AgentStagingInputPending', 45.33028697967529]
['unit.000564', u'pilot.0000', u'AgentStagingInputPending', 45.33051109313965]
['unit.001397', u'pilot.0000', u'AgentStagingInputPending', 45.33126997947693]
['unit.000730', u'pilot.0000', u'AgentStagingInputPending', 45.33148694038391]
['unit.001103', u'pilot.0000', u'AgentStagingInputPending', 45.33232307434082]
['unit.001130', u'pilot.0000', u'AgentStagingInputPending', 45.332364082336426]
['unit.001133', u'pilot.0000', u'AgentStagingInputPending', 45.332396030426025]
['unit.000459', u'pilot.0000', u'AgentStagingInputPending', 45.33248805999756]
['unit.001228', u'pilot.0000', u'AgentStagingInputPending', 45.33262801170349]
['unit.001226', u'pilot.0000', u'AgentStagingInputPending', 45.332679986953735]
['unit.001227', u'pilot.0000', u'AgentStagingInputPending', 45.332700967788696]
['unit.000570', u'pilot.0000', u'AgentStagingInputPending', 45.33302307128906]
['unit.000270', u'pilot.0000', u'AgentStagingInputPending', 45.33366012573242]
['unit.001558', u'pilot.0000', u'AgentStagingInputPending', 45.33405303955078]
['unit.001105', u'pilot.0000', u'StagingInput', 45.33468794822693]
['unit.001612', u'pilot.0000', u'AgentStagingInputPending', 45.33607292175293]
['unit.000662', u'pilot.0000', u'AgentStagingInputPending', 45.336201906204224]
['unit.001417', u'pilot.0000', u'AgentStagingInputPending', 45.3364679813385]
['unit.000693', u'pilot.0000', u'AgentStagingInputPending', 45.337897062301636]
['unit.001519', u'pilot.0000', u'StagingInput', 45.33833289146423]
['unit.001641', u'pilot.0000', u'AgentStagingInputPending', 45.33838200569153]
['unit.000358', u'pilot.0000', u'AgentStagingInputPending', 45.33856010437012]
['unit.001515', u'pilot.0000', u'AgentStagingInputPending', 45.338659048080444]
['unit.001441', u'pilot.0000', u'AgentStagingInputPending', 45.33892011642456]
['unit.000760', u'pilot.0000', u'PendingInputStaging', 45.33954191207886]
['unit.000629', u'pilot.0000', u'AgentStagingInputPending', 58.088205099105835]
['unit.001764', u'pilot.0000', u'AgentStagingInputPending', 58.088573932647705]
['unit.000565', u'pilot.0000', u'PendingInputStaging', 58.08892107009888]
['unit.000387', u'pilot.0000', u'AgentStagingInputPending', 58.08903789520264]
['unit.000731', u'pilot.0000', u'AgentStagingInputPending', 58.089982986450195]
['unit.000575', u'pilot.0000', u'PendingInputStaging', 58.09244990348816]
['unit.000574', u'pilot.0000', u'AgentStagingInputPending', 58.09248495101929]
['unit.000274', u'pilot.0000', u'AgentStagingInputPending', 58.093353033065796]
['unit.000276', u'pilot.0000', u'AgentStagingInputPending', 58.093400955200195]
['unit.000458', u'pilot.0000', u'AgentStagingInputPending', 58.09393000602722]
['unit.000242', u'pilot.0000', u'AgentStagingInputPending', 58.09451103210449]
['unit.001105', u'pilot.0000', u'AgentStagingInputPending', 58.09490704536438]
['unit.000093', u'pilot.0000', u'PendingInputStaging', 58.0958309173584]
['unit.001048', u'pilot.0000', u'AgentStagingInputPending', 58.09614610671997]
['unit.001418', u'pilot.0000', u'AgentStagingInputPending', 58.09756803512573]
['unit.000360', u'pilot.0000', u'AgentStagingInputPending', 58.09771203994751]
['unit.000378', u'pilot.0000', u'AgentStagingInputPending', 58.099035024642944]
['unit.001434', u'pilot.0000', u'AgentStagingInputPending', 58.099388122558594]
['unit.000109', u'pilot.0000', u'AgentStagingInputPending', 58.09983801841736]
['unit.001519', u'pilot.0000', u'AgentStagingInputPending', 58.10012698173523]
