running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016957.0005
['pilot.0000', u'PendingLaunch', 12.387373924255371]
['pilot.0000', u'Launching', 14.777050018310547]
['pilot.0000', u'PendingActive', 33.05630898475647]
['unit.000546', u'pilot.0000', u'PendingInputStaging', 44.072001934051514]
['unit.000226', u'pilot.0000', u'PendingInputStaging', 44.07280683517456]
['unit.000194', u'pilot.0000', u'PendingInputStaging', 44.07369589805603]
['unit.000531', u'pilot.0000', u'PendingInputStaging', 44.07419395446777]
['unit.000269', u'pilot.0000', u'AgentStagingInputPending', 44.074811935424805]
['unit.000398', u'pilot.0000', u'PendingInputStaging', 44.075242042541504]
['unit.000270', u'pilot.0000', u'PendingInputStaging', 44.07657194137573]
['unit.000912', u'pilot.0000', u'PendingInputStaging', 44.07785391807556]
['unit.000901', u'pilot.0000', u'AgentStagingInputPending', 44.078141927719116]
['unit.001021', u'pilot.0000', u'AgentStagingInputPending', 44.07833003997803]
['unit.000729', u'pilot.0000', u'AgentStagingInputPending', 44.078375816345215]
['unit.000546', u'pilot.0000', u'AgentStagingInputPending', 48.15440082550049]
['unit.000459', u'pilot.0000', u'AgentStagingInputPending', 48.154579877853394]
['unit.000401', u'pilot.0000', u'AgentStagingInputPending', 48.15490102767944]
['unit.000400', u'pilot.0000', u'AgentStagingInputPending', 48.15493702888489]
['unit.000226', u'pilot.0000', u'AgentStagingInputPending', 48.155189990997314]
['unit.000988', u'pilot.0000', u'AgentStagingInputPending', 48.15522503852844]
['unit.000194', u'pilot.0000', u'AgentStagingInputPending', 48.15596103668213]
['unit.000531', u'pilot.0000', u'AgentStagingInputPending', 48.156354904174805]
['unit.000449', u'pilot.0000', u'AgentStagingInputPending', 48.15673089027405]
['unit.000398', u'pilot.0000', u'AgentStagingInputPending', 48.157222032547]
['unit.000403', u'pilot.0000', u'PendingInputStaging', 48.15737700462341]
['unit.000402', u'pilot.0000', u'PendingInputStaging', 48.15740489959717]
['unit.000271', u'pilot.0000', u'AgentStagingInputPending', 48.157941818237305]
['unit.000917', u'pilot.0000', u'PendingInputStaging', 48.15809988975525]
['unit.000270', u'pilot.0000', u'AgentStagingInputPending', 48.15845084190369]
['unit.000272', u'pilot.0000', u'AgentStagingInputPending', 48.1584849357605]
['unit.000273', u'pilot.0000', u'AgentStagingInputPending', 48.158578872680664]
['unit.000274', u'pilot.0000', u'PendingInputStaging', 48.158610820770264]
['unit.000275', u'pilot.0000', u'PendingInputStaging', 48.15863585472107]
['unit.000912', u'pilot.0000', u'AgentStagingInputPending', 48.159703969955444]
['unit.001022', u'pilot.0000', u'AgentStagingInputPending', 48.15973997116089]
['unit.000516', u'pilot.0000', u'PendingInputStaging', 48.16003084182739]
['unit.000754', u'pilot.0000', u'PendingInputStaging', 48.16010594367981]
['unit.000763', u'pilot.0000', u'StagingInput', 48.16015887260437]
['unit.000585', u'pilot.0000', u'AgentStagingInputPending', 48.1602988243103]
['unit.000195', u'pilot.0000', u'PendingInputStaging', 55.036309003829956]
['unit.000024', u'pilot.0000', u'PendingInputStaging', 55.0369439125061]
['unit.000405', u'pilot.0000', u'PendingInputStaging', 55.03886294364929]
['unit.000404', u'pilot.0000', u'PendingInputStaging', 55.03890299797058]
['unit.000403', u'pilot.0000', u'StagingInput', 55.038938999176025]
['unit.000402', u'pilot.0000', u'AgentStagingInputPending', 55.03897404670715]
['unit.000717', u'pilot.0000', u'PendingInputStaging', 55.03911900520325]
['unit.000227', u'pilot.0000', u'PendingInputStaging', 55.03981304168701]
['unit.000274', u'pilot.0000', u'AgentStagingInputPending', 55.040436029434204]
['unit.000275', u'pilot.0000', u'StagingInput', 55.040480852127075]
['unit.000516', u'pilot.0000', u'AgentStagingInputPending', 55.04228401184082]
['unit.000754', u'pilot.0000', u'AgentStagingInputPending', 55.042418003082275]
['unit.000763', u'pilot.0000', u'AgentStagingInputPending', 55.04249382019043]
['unit.000738', u'pilot.0000', u'PendingInputStaging', 62.60659599304199]
['unit.000949', u'pilot.0000', u'PendingInputStaging', 62.60685181617737]
['unit.000358', u'pilot.0000', u'PendingInputStaging', 62.606963872909546]
['unit.000812', u'pilot.0000', u'AgentStagingInputPending', 62.60734581947327]
['unit.000721', u'pilot.0000', u'AgentStagingInputPending', 62.60754585266113]
['unit.000195', u'pilot.0000', u'AgentStagingInputPending', 62.608356952667236]
['unit.000653', u'pilot.0000', u'AgentStagingInputPending', 62.60873889923096]
['unit.000713', u'pilot.0000', u'AgentStagingInputPending', 62.608814001083374]
['unit.000024', u'pilot.0000', u'AgentStagingInputPending', 62.608943939208984]
['unit.000282', u'pilot.0000', u'PendingInputStaging', 62.609216928482056]
['unit.000281', u'pilot.0000', u'StagingInput', 62.60957384109497]
['unit.000280', u'pilot.0000', u'AgentStagingInputPending', 62.60960793495178]
['unit.000443', u'pilot.0000', u'PendingInputStaging', 62.60973596572876]
['unit.000279', u'pilot.0000', u'AgentStagingInputPending', 62.61019802093506]
['unit.000542', u'pilot.0000', u'AgentStagingInputPending', 62.610532999038696]
['unit.000405', u'pilot.0000', u'AgentStagingInputPending', 62.610816955566406]
['unit.000404', u'pilot.0000', u'AgentStagingInputPending', 62.61084985733032]
['unit.000403', u'pilot.0000', u'AgentStagingInputPending', 62.610880851745605]
['unit.000564', u'pilot.0000', u'AgentStagingInputPending', 62.61096501350403]
['unit.000717', u'pilot.0000', u'AgentStagingInputPending', 62.61103796958923]
['unit.000709', u'pilot.0000', u'AgentStagingInputPending', 62.61132097244263]
['unit.000227', u'pilot.0000', u'AgentStagingInputPending', 62.61170482635498]
['unit.000854', u'pilot.0000', u'AgentStagingInputPending', 62.61178398132324]
['unit.000917', u'pilot.0000', u'AgentStagingInputPending', 62.61187982559204]
['unit.000275', u'pilot.0000', u'AgentStagingInputPending', 62.612329959869385]
['unit.000406', u'pilot.0000', u'AgentStagingInputPending', 62.612377882003784]
['unit.000783', u'pilot.0000', u'PendingInputStaging', 62.612892866134644]
['unit.000411', u'pilot.0000', u'PendingInputStaging', 62.61331391334534]
['unit.000731', u'pilot.0000', u'AgentStagingInputPending', 62.61340284347534]
['unit.000582', u'pilot.0000', u'AgentStagingInputPending', 62.61382985115051]
['unit.000450', u'pilot.0000', u'AgentStagingInputPending', 62.61419701576233]
['unit.000165', u'pilot.0000', u'PendingInputStaging', 62.61443901062012]
['unit.000644', u'pilot.0000', u'AgentStagingInputPending', 62.61463403701782]
['unit.000738', u'pilot.0000', u'AgentStagingInputPending', 66.55170392990112]
['unit.000949', u'pilot.0000', u'AgentStagingInputPending', 66.55195093154907]
['unit.000358', u'pilot.0000', u'AgentStagingInputPending', 66.5520088672638]
