running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016945.0000
['pilot.0000', u'PendingLaunch', 14.77547287940979]
['pilot.0000', u'Launching', 16.372384071350098]
['pilot.0000', u'PendingActive', 38.773808002471924]
['unit.000449', u'pilot.0000', u'PendingInputStaging', 56.14805603027344]
['unit.000448', u'pilot.0000', u'AgentStagingInputPending', 56.1481499671936]
['unit.001816', u'pilot.0000', u'StagingInput', 56.1491219997406]
['unit.000289', u'pilot.0000', u'StagingInput', 56.151463985443115]
['unit.001503', u'pilot.0000', u'AgentStagingInputPending', 56.16087293624878]
['unit.000300', u'pilot.0000', u'AgentStagingInputPending', 60.06849789619446]
['unit.000449', u'pilot.0000', u'AgentStagingInputPending', 60.069499015808105]
['unit.000638', u'pilot.0000', u'AgentStagingInputPending', 60.07024598121643]
['unit.000639', u'pilot.0000', u'AgentStagingInputPending', 60.070276975631714]
['unit.001816', u'pilot.0000', u'AgentStagingInputPending', 60.07050108909607]
['unit.000302', u'pilot.0000', u'PendingInputStaging', 60.07098698616028]
['unit.000605', u'pilot.0000', u'AgentStagingInputPending', 60.07120704650879]
['unit.000606', u'pilot.0000', u'AgentStagingInputPending', 60.07124900817871]
['unit.000452', u'pilot.0000', u'AgentStagingInputPending', 60.07135796546936]
['unit.001528', u'pilot.0000', u'AgentStagingInputPending', 60.07153105735779]
['unit.001527', u'pilot.0000', u'AgentStagingInputPending', 60.07226490974426]
['unit.000509', u'pilot.0000', u'AgentStagingInputPending', 60.072335958480835]
['unit.000289', u'pilot.0000', u'AgentStagingInputPending', 60.073034048080444]
['unit.000453', u'pilot.0000', u'AgentStagingInputPending', 60.07348704338074]
['unit.000296', u'pilot.0000', u'AgentStagingInputPending', 60.07406806945801]
['unit.000294', u'pilot.0000', u'AgentStagingInputPending', 60.07412004470825]
['unit.000295', u'pilot.0000', u'AgentStagingInputPending', 60.074151039123535]
['unit.000292', u'pilot.0000', u'AgentStagingInputPending', 60.0741810798645]
['unit.000293', u'pilot.0000', u'AgentStagingInputPending', 60.07420802116394]
['unit.000290', u'pilot.0000', u'AgentStagingInputPending', 60.07423496246338]
['unit.000291', u'pilot.0000', u'AgentStagingInputPending', 60.07426309585571]
['unit.000457', u'pilot.0000', u'AgentStagingInputPending', 60.07465195655823]
['unit.000458', u'pilot.0000', u'AgentStagingInputPending', 60.07495307922363]
['unit.000641', u'pilot.0000', u'AgentStagingInputPending', 60.07551193237305]
['unit.000643', u'pilot.0000', u'AgentStagingInputPending', 60.07554888725281]
['unit.000642', u'pilot.0000', u'AgentStagingInputPending', 60.075576066970825]
['unit.000646', u'pilot.0000', u'AgentStagingInputPending', 60.07562208175659]
['unit.000301', u'pilot.0000', u'StagingInput', 60.07578897476196]
['unit.001314', u'pilot.0000', u'AgentStagingInputPending', 60.077430963516235]
['unit.001530', u'pilot.0000', u'AgentStagingInputPending', 60.07778286933899]
['unit.001531', u'pilot.0000', u'PendingInputStaging', 60.07782196998596]
['unit.001532', u'pilot.0000', u'PendingInputStaging', 60.07786703109741]
['unit.001529', u'pilot.0000', u'AgentStagingInputPending', 60.07849907875061]
['unit.000869', u'pilot.0000', u'AgentStagingInputPending', 60.080540895462036]
['unit.001519', u'pilot.0000', u'AgentStagingInputPending', 60.080689907073975]
