P1U1,P2U1,P4U1,P8U1,P16U1,P32U1
289.5576236682,294.8538998365,270.9135770599,317.6669175327,256.150507085,246.4280361668
129.9890349421,115.6639761514,69.8298377823,155.8901562333,74.708298748,88.1109385734
