P1U1,P1U2,P1U4,P1U8,P1U16,P1U32,P1U64,P1U128,P1U256,P1U512,P1U1024,P1U2048
10.0906839091,20.2247553,40.4070555455,81.1000489091,164.6335428,323.715766,696.2556533333,1317.10893075,2591.842169,5191.618225,10629.901131,0
0.0319632834,0.0532610592,0.1002555151,0.7454764554,5.8174736088,0.1744430422,111.0282463754,35.7971322035,2.5526423568,4.70038,0,0
