P1U1,P2U1,P4U1,P8U1,P16U1,P32U1
253.9066251818,251.5059554,235.7351889167,284.6454338438,226.1203001864,187.0252263451
129.0129263118,113.7895109106,69.5955702957,155.5644812359,72.1789827734,55.4767593276
