P1U1,P2U1,P4U1,P8U1,P16U1,P32U1
289.5576236682,316.0248952509,365.9534164668,542.1297242643,532.1908608675,698.292237997
129.9890349421,105.5826319132,57.1049127806,162.9894054119,76.1991640325,0
