P1U1,P2U1,P4U1,P8U1,P16U1,P32U1
10.0906839091,15.612514875,36.955535,68.9579995,90.6042555,135.05088
0.0319632834,4.7659627034,4.5313287265,6.8228226572,1.9982515,0
