P1U1,P1U2,P1U4,P1U8,P1U16,P1U32,P1U64,P1U128,P1U256,P1U512,P1U1024,P1U2048
289.5576236682,290.0426347017,303.6762436737,344.9062810594,405.177044487,604.641795969,981.3103488286,1582.7425919771,2874.5315505266,5482.2415014505,11128.6725459099,0
129.9890349421,63.3508677441,86.8246725587,52.9265860473,58.7382299282,36.1079145675,188.6105226966,72.569565975,44.4146615468,18.0287145376,0,0
