"1 Pilot, 1 Unit", 100
"1 Pilot, 2 Units", 100
"1 Pilot, 4 Units", 64.7058823529
"1 Pilot, 8 Units", 100
"1 Pilot, 16 Units", 83.3333333333
"1 Pilot, 32 Units", 38.4615384615
"1 Pilot, 64 Units", 100
"1 Pilot, 128 Units", 62.5
"1 Pilot, 256 Units", 57.1428571429
"1 Pilot, 512 Units", 42.8571428571
"1 Pilot, 1024 Units", 25
"1 Pilot, 2048 Units", 0
