P1U1,P1U2,P1U4,P1U8,P1U16,P1U32,P1U64,P1U128,P1U256,P1U512,P1U1024,P1U2048
0,0,0,0,0,0,0,0,0,0,66.25,1022
0,0,0,0,0,0,0,0,0,0,113.5965998611,0
