"1 P, 1 U"        100
"1 P, 2 U"        100
"1 P, 4 U"         64.7058823529
"1 P, 8 U"         100
"1 P, 16 U"         83.3333333333
"1 P, 32 U"         38.4615384615
"1 P, 64 U"         100
"1 P, 128 U"         62.5
"1 P, 256 U"         57.1428571429
"1 P, 512 U"         42.8571428571
"1 P, 1024 U"         25
"1 P, 2048 U"         0
