running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016911.0006
['pilot.0000', 'PendingLaunch', 15.965415000915527]
['pilot.0000', u'Launching', 16.494508981704712]
['unit.000483', u'pilot.0000', u'StagingInput', 42.591593980789185]
['unit.000216', u'pilot.0000', u'AgentStagingInputPending', 42.592897176742554]
['unit.000217', u'pilot.0000', u'AgentStagingInputPending', 42.592921018600464]
['unit.000215', u'pilot.0000', u'AgentStagingInputPending', 42.59294509887695]
['unit.000450', u'pilot.0000', u'AgentStagingInputPending', 42.59358310699463]
['unit.000452', u'pilot.0000', u'AgentStagingInputPending', 42.593611001968384]
['unit.000453', u'pilot.0000', u'AgentStagingInputPending', 42.5950231552124]
['unit.001479', u'pilot.0000', u'AgentStagingInputPending', 42.596861124038696]
['unit.002034', u'pilot.0000', u'AgentStagingInputPending', 42.59716606140137]
['unit.000222', u'pilot.0000', u'PendingInputStaging', 42.597591161727905]
['unit.000221', u'pilot.0000', u'AgentStagingInputPending', 42.597609996795654]
['unit.000369', u'pilot.0000', u'AgentStagingInputPending', 42.59912109375]
['unit.000218', u'pilot.0000', u'AgentStagingInputPending', 42.5996789932251]
['unit.000342', u'pilot.0000', u'AgentStagingInputPending', 42.600789070129395]
['pilot.0000', u'PendingActive', 43.29129600524902]
['unit.000485', u'pilot.0000', u'AgentStagingInputPending', 46.76060199737549]
['unit.000484', u'pilot.0000', u'AgentStagingInputPending', 46.76099610328674]
['unit.000483', u'pilot.0000', u'AgentStagingInputPending', 46.76104402542114]
['unit.000229', u'pilot.0000', u'AgentStagingInputPending', 46.762529134750366]
['unit.000469', u'pilot.0000', u'AgentStagingInputPending', 46.76298713684082]
['unit.000230', u'pilot.0000', u'AgentStagingInputPending', 46.763243198394775]
['unit.000231', u'pilot.0000', u'AgentStagingInputPending', 46.76327109336853]
['unit.000451', u'pilot.0000', u'AgentStagingInputPending', 46.76333212852478]
['unit.001125', u'pilot.0000', u'AgentStagingInputPending', 46.763718128204346]
['unit.000468', u'pilot.0000', u'AgentStagingInputPending', 46.76419115066528]
['unit.000486', u'pilot.0000', u'AgentStagingInputPending', 46.764394998550415]
['unit.001480', u'pilot.0000', u'AgentStagingInputPending', 46.764456033706665]
['unit.001481', u'pilot.0000', u'AgentStagingInputPending', 46.76448202133179]
['unit.001482', u'pilot.0000', u'AgentStagingInputPending', 46.76450514793396]
['unit.001483', u'pilot.0000', u'AgentStagingInputPending', 46.76452898979187]
['unit.000370', u'pilot.0000', u'AgentStagingInputPending', 46.765105962753296]
['unit.002036', u'pilot.0000', u'AgentStagingInputPending', 46.765949010849]
['unit.002037', u'pilot.0000', u'AgentStagingInputPending', 46.7663471698761]
['unit.000467', u'pilot.0000', u'AgentStagingInputPending', 46.76744508743286]
['unit.000478', u'pilot.0000', u'StagingInput', 46.768316984176636]
['unit.000479', u'pilot.0000', u'AgentStagingInputPending', 46.76834511756897]
['unit.000472', u'pilot.0000', u'AgentStagingInputPending', 46.76837110519409]
['unit.000470', u'pilot.0000', u'AgentStagingInputPending', 46.768402099609375]
['unit.000471', u'pilot.0000', u'AgentStagingInputPending', 46.76842713356018]
['unit.000476', u'pilot.0000', u'AgentStagingInputPending', 46.768452167510986]
['unit.000477', u'pilot.0000', u'StagingInput', 46.7684760093689]
['unit.000474', u'pilot.0000', u'AgentStagingInputPending', 46.76850199699402]
['unit.000475', u'pilot.0000', u'AgentStagingInputPending', 46.768527030944824]
['unit.000225', u'pilot.0000', u'AgentStagingInputPending', 46.76945519447327]
['unit.000224', u'pilot.0000', u'AgentStagingInputPending', 46.76948308944702]
['unit.000223', u'pilot.0000', u'AgentStagingInputPending', 46.76950716972351]
['unit.000222', u'pilot.0000', u'AgentStagingInputPending', 46.76953315734863]
['unit.001962', u'pilot.0000', u'AgentStagingInputPending', 46.76985001564026]
['unit.000234', u'pilot.0000', u'AgentStagingInputPending', 46.77035617828369]
['unit.000235', u'pilot.0000', u'AgentStagingInputPending', 46.77038216590881]
['unit.000236', u'pilot.0000', u'AgentStagingInputPending', 46.77040696144104]
['unit.000232', u'pilot.0000', u'AgentStagingInputPending', 46.77049112319946]
['unit.000233', u'pilot.0000', u'AgentStagingInputPending', 46.77051496505737]
['unit.001893', u'pilot.0000', u'PendingInputStaging', 46.77083206176758]
['unit.002035', u'pilot.0000', u'AgentStagingInputPending', 46.77120304107666]
['unit.000372', u'pilot.0000', u'AgentStagingInputPending', 46.771308183670044]
['unit.000227', u'pilot.0000', u'AgentStagingInputPending', 46.77177906036377]
['unit.000226', u'pilot.0000', u'AgentStagingInputPending', 46.77180504798889]
['unit.000228', u'pilot.0000', u'AgentStagingInputPending', 46.7718870639801]
['unit.000690', u'pilot.0000', u'AgentStagingInputPending', 46.77222204208374]
['unit.001989', u'pilot.0000', u'AgentStagingInputPending', 46.773411989212036]
