running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016907.0003
Pilot Information
[None, u'Launching', 8.7030508518219]
['pilot.0000', u'Launching', 8.713245868682861]
['pilot.0000', u'PendingActive', 27.728271007537842]
['pilot.0000', u'Active', 279.26771092414856]


Unit Information
['unit.000237', u'pilot.0000', u'AgentStagingInputPending', 40.24441599845886]
['unit.000255', u'pilot.0000', u'AgentStagingInputPending', 40.24448800086975]
['unit.000128', u'pilot.0000', u'AgentStagingInputPending', 40.24484300613403]
['unit.000012', u'pilot.0000', u'AgentStagingInputPending', 40.24489688873291]
['unit.000226', u'pilot.0000', u'AgentStagingInputPending', 40.244951009750366]
['unit.000156', u'pilot.0000', u'PendingInputStaging', 40.246208906173706]
['unit.000252', u'pilot.0000', u'PendingInputStaging', 40.246459007263184]
['unit.000151', u'pilot.0000', u'AgentStagingInputPending', 40.24675393104553]
['unit.000005', u'pilot.0000', u'AgentStagingInputPending', 40.246803998947144]
['unit.000150', u'pilot.0000', u'StagingInput', 40.2468318939209]
['unit.000212', u'pilot.0000', u'AgentStagingInputPending', 40.24688792228699]
['unit.000213', u'pilot.0000', u'AgentStagingInputPending', 40.24691605567932]
['unit.000201', u'pilot.0000', u'AgentStagingInputPending', 40.247150897979736]
['unit.000207', u'pilot.0000', u'AgentStagingInputPending', 40.24722385406494]
['unit.000110', u'pilot.0000', u'AgentStagingInputPending', 40.24735498428345]
['unit.000214', u'pilot.0000', u'AgentStagingInputPending', 40.24746298789978]
['unit.000199', u'pilot.0000', u'AgentStagingInputPending', 40.247523069381714]
['unit.000210', u'pilot.0000', u'AgentStagingInputPending', 40.24755907058716]
['unit.000182', u'pilot.0000', u'AgentStagingInputPending', 40.24770903587341]
['unit.000164', u'pilot.0000', u'PendingInputStaging', 40.24787092208862]
['unit.000126', u'pilot.0000', u'PendingInputStaging', 40.248055934906006]
['unit.000009', u'pilot.0000', u'AgentStagingInputPending', 40.24809002876282]
['unit.000078', u'pilot.0000', u'PendingInputStaging', 40.24812889099121]
['unit.000074', u'pilot.0000', u'AgentStagingInputPending', 40.24817895889282]
['unit.000014', u'pilot.0000', u'AgentStagingInputPending', 46.875773906707764]
['unit.000016', u'pilot.0000', u'AgentStagingInputPending', 46.87582087516785]
['unit.000082', u'pilot.0000', u'PendingInputStaging', 46.875913858413696]
['unit.000081', u'pilot.0000', u'AgentStagingInputPending', 46.87594294548035]
['unit.000080', u'pilot.0000', u'AgentStagingInputPending', 46.875972032547]
['unit.000227', u'pilot.0000', u'AgentStagingInputPending', 46.87607288360596]
['unit.000242', u'pilot.0000', u'AgentStagingInputPending', 46.87631392478943]
['unit.000152', u'pilot.0000', u'AgentStagingInputPending', 46.87643599510193]
['unit.000156', u'pilot.0000', u'AgentStagingInputPending', 46.87648606300354]
['unit.000167', u'pilot.0000', u'PendingInputStaging', 46.87664294242859]
['unit.000252', u'pilot.0000', u'AgentStagingInputPending', 46.87666988372803]
['unit.000219', u'pilot.0000', u'PendingInputStaging', 46.87702202796936]
['unit.000150', u'pilot.0000', u'AgentStagingInputPending', 46.87705993652344]
['unit.000231', u'pilot.0000', u'AgentStagingInputPending', 46.87726807594299]
['unit.000083', u'pilot.0000', u'PendingInputStaging', 46.87729597091675]
['unit.000100', u'pilot.0000', u'AgentStagingInputPending', 46.877482891082764]
['unit.000197', u'pilot.0000', u'AgentStagingInputPending', 46.877604961395264]
['unit.000196', u'pilot.0000', u'AgentStagingInputPending', 46.877630949020386]
['unit.000217', u'pilot.0000', u'AgentStagingInputPending', 46.877691984176636]
['unit.000215', u'pilot.0000', u'AgentStagingInputPending', 46.877727031707764]
['unit.000186', u'pilot.0000', u'PendingInputStaging', 46.87792491912842]
['unit.000185', u'pilot.0000', u'PendingInputStaging', 46.877968072891235]
['unit.000068', u'pilot.0000', u'PendingInputStaging', 46.87800407409668]
['unit.000164', u'pilot.0000', u'AgentStagingInputPending', 46.87813901901245]
['unit.000162', u'pilot.0000', u'AgentStagingInputPending', 46.87820506095886]
['unit.000131', u'pilot.0000', u'PendingInputStaging', 46.878315925598145]
['unit.000111', u'pilot.0000', u'AgentStagingInputPending', 46.87837600708008]
['unit.000126', u'pilot.0000', u'AgentStagingInputPending', 46.8784019947052]
['unit.000078', u'pilot.0000', u'AgentStagingInputPending', 46.878440856933594]
['unit.000079', u'pilot.0000', u'AgentStagingInputPending', 46.87849187850952]
['unit.000017', u'pilot.0000', u'AgentStagingInputPending', 53.086910009384155]
['unit.000082', u'pilot.0000', u'AgentStagingInputPending', 53.087002992630005]
['unit.000085', u'pilot.0000', u'AgentStagingInputPending', 53.08708190917969]
['unit.000024', u'pilot.0000', u'PendingInputStaging', 53.087255001068115]
['unit.000021', u'pilot.0000', u'AgentStagingInputPending', 53.08734202384949]
['unit.000192', u'pilot.0000', u'PendingInputStaging', 53.0874080657959]
['unit.000153', u'pilot.0000', u'PendingInputStaging', 53.0875608921051]
['unit.000132', u'pilot.0000', u'StagingInput', 53.08772397041321]
['unit.000167', u'pilot.0000', u'AgentStagingInputPending', 53.0878119468689]
['unit.000249', u'pilot.0000', u'PendingInputStaging', 53.0878689289093]
['unit.000083', u'pilot.0000', u'AgentStagingInputPending', 53.08876395225525]
