running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016910.0001
['pilot.0000', u'PendingLaunch', 7.496463060379028]
['pilot.0000', u'Launching', 8.580329179763794]
['unit.000108', u'pilot.0000', u'AgentStagingInputPending', 23.022786140441895]
['unit.000046', u'pilot.0000', u'AgentStagingInputPending', 23.02295207977295]
['unit.000726', u'pilot.0000', u'AgentStagingInputPending', 23.02364706993103]
['unit.000614', u'pilot.0000', u'AgentStagingInputPending', 23.024163007736206]
['unit.000922', u'pilot.0000', u'AgentStagingInputPending', 23.024317026138306]
['unit.000971', u'pilot.0000', u'StagingInput', 23.024811029434204]
['unit.000107', u'pilot.0000', u'AgentStagingInputPending', 23.02745509147644]
['unit.000109', u'pilot.0000', u'AgentStagingInputPending', 23.02801513671875]
['unit.000077', u'pilot.0000', u'StagingInput', 23.028203010559082]
['unit.000427', u'pilot.0000', u'AgentStagingInputPending', 23.028331995010376]
['unit.000909', u'pilot.0000', u'PendingInputStaging', 23.02841806411743]
['unit.000796', u'pilot.0000', u'PendingInputStaging', 23.028599977493286]
['unit.001010', u'pilot.0000', u'AgentStagingInputPending', 23.030601024627686]
['unit.000078', u'pilot.0000', u'PendingInputStaging', 23.030765056610107]
['unit.000074', u'pilot.0000', u'AgentStagingInputPending', 23.030829191207886]
['unit.000073', u'pilot.0000', u'AgentStagingInputPending', 23.0308780670166]
['unit.000951', u'pilot.0000', u'AgentStagingInputPending', 23.03094506263733]
['unit.000959', u'pilot.0000', u'AgentStagingInputPending', 23.031033992767334]
['unit.000111', u'pilot.0000', u'PendingInputStaging', 23.031126976013184]
['unit.000110', u'pilot.0000', u'AgentStagingInputPending', 23.031175136566162]
['unit.000045', u'pilot.0000', u'AgentStagingInputPending', 23.031800031661987]
['unit.000043', u'pilot.0000', u'AgentStagingInputPending', 23.031949043273926]
['unit.000049', u'pilot.0000', u'PendingInputStaging', 23.03205919265747]
['unit.000497', u'pilot.0000', u'AgentStagingInputPending', 26.98584818840027]
['unit.000083', u'pilot.0000', u'AgentStagingInputPending', 26.986103057861328]
['unit.000082', u'pilot.0000', u'AgentStagingInputPending', 26.98614501953125]
['unit.000081', u'pilot.0000', u'AgentStagingInputPending', 26.986181020736694]
['unit.000080', u'pilot.0000', u'AgentStagingInputPending', 26.986216068267822]
['unit.000084', u'pilot.0000', u'AgentStagingInputPending', 26.986274003982544]
['unit.000118', u'pilot.0000', u'AgentStagingInputPending', 26.986449003219604]
['unit.001011', u'pilot.0000', u'AgentStagingInputPending', 26.986732006072998]
['unit.000049', u'pilot.0000', u'AgentStagingInputPending', 26.986905097961426]
['unit.000337', u'pilot.0000', u'AgentStagingInputPending', 26.98712420463562]
['unit.000339', u'pilot.0000', u'PendingInputStaging', 26.987213134765625]
['unit.000056', u'pilot.0000', u'AgentStagingInputPending', 26.98727297782898]
['unit.000057', u'pilot.0000', u'PendingInputStaging', 26.98730707168579]
['unit.000051', u'pilot.0000', u'AgentStagingInputPending', 26.987349033355713]
['unit.000052', u'pilot.0000', u'AgentStagingInputPending', 26.987382173538208]
['unit.000117', u'pilot.0000', u'AgentStagingInputPending', 26.987441062927246]
['unit.000924', u'pilot.0000', u'AgentStagingInputPending', 26.987709045410156]
['unit.000050', u'pilot.0000', u'AgentStagingInputPending', 26.987770080566406]
['unit.000971', u'pilot.0000', u'AgentStagingInputPending', 26.988092184066772]
['unit.000845', u'pilot.0000', u'AgentStagingInputPending', 26.98908305168152]
['unit.000690', u'pilot.0000', u'AgentStagingInputPending', 26.989392042160034]
['unit.000326', u'pilot.0000', u'AgentStagingInputPending', 26.989545106887817]
['unit.000327', u'pilot.0000', u'AgentStagingInputPending', 26.989580154418945]
['unit.000106', u'pilot.0000', u'StagingInput', 26.989772081375122]
['unit.000488', u'pilot.0000', u'PendingInputStaging', 26.990231037139893]
['unit.000079', u'pilot.0000', u'AgentStagingInputPending', 26.990272998809814]
['unit.000077', u'pilot.0000', u'AgentStagingInputPending', 26.990342140197754]
['unit.000909', u'pilot.0000', u'AgentStagingInputPending', 26.990485191345215]
['unit.000428', u'pilot.0000', u'AgentStagingInputPending', 26.99057698249817]
['unit.000797', u'pilot.0000', u'AgentStagingInputPending', 26.990730047225952]
['unit.000796', u'pilot.0000', u'AgentStagingInputPending', 26.990767002105713]
['unit.000662', u'pilot.0000', u'PendingInputStaging', 26.99116802215576]
['unit.000681', u'pilot.0000', u'AgentStagingInputPending', 26.991886138916016]
['unit.000294', u'pilot.0000', u'AgentStagingInputPending', 26.99195098876953]
['unit.000774', u'pilot.0000', u'AgentStagingInputPending', 26.992784023284912]
['unit.000776', u'pilot.0000', u'StagingInput', 26.992844104766846]
['unit.000907', u'pilot.0000', u'AgentStagingInputPending', 26.993016004562378]
['unit.000078', u'pilot.0000', u'AgentStagingInputPending', 26.993086099624634]
['unit.000953', u'pilot.0000', u'PendingInputStaging', 26.99325704574585]
['unit.000952', u'pilot.0000', u'AgentStagingInputPending', 26.993300199508667]
['unit.000053', u'pilot.0000', u'AgentStagingInputPending', 26.99340510368347]
['unit.000111', u'pilot.0000', u'AgentStagingInputPending', 26.993488073349]
['unit.000824', u'pilot.0000', u'PendingInputStaging', 26.993637084960938]
['unit.000829', u'pilot.0000', u'AgentStagingInputPending', 26.993897199630737]
['unit.000044', u'pilot.0000', u'AgentStagingInputPending', 26.994174003601074]
['unit.000910', u'pilot.0000', u'AgentStagingInputPending', 26.994330167770386]
['unit.000609', u'pilot.0000', u'AgentStagingInputPending', 26.994405031204224]
['unit.000919', u'pilot.0000', u'AgentStagingInputPending', 26.994508028030396]
['unit.000861', u'pilot.0000', u'AgentStagingInputPending', 26.99463415145874]
['unit.000882', u'pilot.0000', u'AgentStagingInputPending', 26.995382070541382]
['unit.000121', u'pilot.0000', u'AgentStagingInputPending', 30.65703511238098]
['unit.000798', u'pilot.0000', u'AgentStagingInputPending', 30.657113075256348]
['unit.000815', u'pilot.0000', u'AgentStagingInputPending', 30.657549142837524]
['unit.000339', u'pilot.0000', u'AgentStagingInputPending', 30.657777070999146]
['unit.000057', u'pilot.0000', u'AgentStagingInputPending', 30.657845973968506]
['unit.000980', u'pilot.0000', u'AgentStagingInputPending', 30.658894062042236]
['unit.000424', u'pilot.0000', u'AgentStagingInputPending', 30.658932209014893]
['unit.000659', u'pilot.0000', u'AgentStagingInputPending', 30.658972024917603]
['unit.000656', u'pilot.0000', u'PendingInputStaging', 30.659005165100098]
['unit.000895', u'pilot.0000', u'AgentStagingInputPending', 30.65917205810547]
['unit.000094', u'pilot.0000', u'AgentStagingInputPending', 30.659346103668213]
['unit.000095', u'pilot.0000', u'AgentStagingInputPending', 30.659380197525024]
['unit.000096', u'pilot.0000', u'PendingInputStaging', 30.659412145614624]
['unit.000328', u'pilot.0000', u'AgentStagingInputPending', 30.65957999229431]
['unit.000106', u'pilot.0000', u'AgentStagingInputPending', 30.660207986831665]
['unit.000098', u'pilot.0000', u'AgentStagingInputPending', 30.660552978515625]
['unit.000061', u'pilot.0000', u'AgentStagingInputPending', 30.66061520576477]
['unit.000062', u'pilot.0000', u'AgentStagingInputPending', 30.66066312789917]
