running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016908.0005
[None, u'Launching', 10.166414976119995]
['pilot.0000', u'Launching', 10.266170978546143]
['unit.000456', u'pilot.0000', u'StagingInput', 37.50351309776306]
['unit.000115', u'pilot.0000', u'PendingInputStaging', 37.50452208518982]
['unit.000114', u'pilot.0000', u'AgentStagingInputPending', 37.5045599937439]
['unit.000113', u'pilot.0000', u'AgentStagingInputPending', 37.504619121551514]
['unit.000896', u'pilot.0000', u'AgentStagingInputPending', 37.50489592552185]
['unit.000871', u'pilot.0000', u'PendingInputStaging', 37.504966020584106]
['unit.000418', u'pilot.0000', u'AgentStagingInputPending', 37.50555992126465]
['unit.000441', u'pilot.0000', u'AgentStagingInputPending', 37.50640892982483]
['unit.000807', u'pilot.0000', u'AgentStagingInputPending', 37.506641149520874]
['unit.000806', u'pilot.0000', u'AgentStagingInputPending', 37.5066819190979]
['unit.000148', u'pilot.0000', u'AgentStagingInputPending', 37.507920026779175]
['unit.000857', u'pilot.0000', u'AgentStagingInputPending', 37.508140087127686]
['unit.000853', u'pilot.0000', u'AgentStagingInputPending', 37.50818991661072]
['unit.000747', u'pilot.0000', u'AgentStagingInputPending', 37.508979082107544]
['unit.000644', u'pilot.0000', u'PendingInputStaging', 37.51071214675903]
['pilot.0000', u'PendingActive', 41.61880111694336]
['unit.000119', u'pilot.0000', u'AgentStagingInputPending', 42.017998933792114]
['unit.000118', u'pilot.0000', u'PendingInputStaging', 42.0182580947876]
['unit.000456', u'pilot.0000', u'AgentStagingInputPending', 42.01865196228027]
['unit.000813', u'pilot.0000', u'PendingInputStaging', 42.01873707771301]
['unit.000115', u'pilot.0000', u'AgentStagingInputPending', 42.019110918045044]
['unit.000117', u'pilot.0000', u'AgentStagingInputPending', 42.01916193962097]
['unit.000871', u'pilot.0000', u'AgentStagingInputPending', 42.01955199241638]
['unit.000812', u'pilot.0000', u'StagingInput', 42.02026009559631]
['unit.000535', u'pilot.0000', u'AgentStagingInputPending', 42.02091407775879]
['unit.000106', u'pilot.0000', u'AgentStagingInputPending', 42.02139592170715]
['unit.000967', u'pilot.0000', u'AgentStagingInputPending', 42.02194309234619]
['unit.000935', u'pilot.0000', u'AgentStagingInputPending', 42.0220091342926]
['unit.000116', u'pilot.0000', u'AgentStagingInputPending', 42.024150133132935]
['unit.000041', u'pilot.0000', u'PendingInputStaging', 42.024821043014526]
['unit.000613', u'pilot.0000', u'AgentStagingInputPending', 42.025129079818726]
['unit.000905', u'pilot.0000', u'AgentStagingInputPending', 42.02532196044922]
['unit.000584', u'pilot.0000', u'AgentStagingInputPending', 42.025633096694946]
['unit.000648', u'pilot.0000', u'StagingInput', 42.025856018066406]
['unit.000644', u'pilot.0000', u'AgentStagingInputPending', 42.02596998214722]
['unit.000940', u'pilot.0000', u'AgentStagingInputPending', 45.93162202835083]
