running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016909.0001
[None, u'Launching', 13.066561937332153]
['pilot.0000', u'Launching', 13.166563987731934]
['unit.000176', u'pilot.0000', u'PendingInputStaging', 27.916901111602783]
['unit.000460', u'pilot.0000', u'PendingInputStaging', 27.91878914833069]
['unit.000335', u'pilot.0000', u'AgentStagingInputPending', 33.21133303642273]
['unit.000334', u'pilot.0000', u'AgentStagingInputPending', 33.21139407157898]
['unit.000337', u'pilot.0000', u'PendingInputStaging', 33.21143412590027]
['unit.000336', u'pilot.0000', u'StagingInput', 33.211472034454346]
['unit.000338', u'pilot.0000', u'PendingInputStaging', 33.21154594421387]
['unit.000179', u'pilot.0000', u'StagingInput', 33.211808919906616]
['unit.000178', u'pilot.0000', u'AgentStagingInputPending', 33.21184992790222]
['unit.000177', u'pilot.0000', u'AgentStagingInputPending', 33.212599992752075]
['unit.000176', u'pilot.0000', u'AgentStagingInputPending', 33.2126579284668]
['unit.000180', u'pilot.0000', u'PendingInputStaging', 33.21418309211731]
['unit.000008', u'pilot.0000', u'PendingInputStaging', 33.214280128479004]
['unit.000302', u'pilot.0000', u'PendingInputStaging', 33.21475100517273]
['unit.000307', u'pilot.0000', u'PendingInputStaging', 33.2148220539093]
['unit.000460', u'pilot.0000', u'AgentStagingInputPending', 33.21513509750366]
['pilot.0000', u'PendingActive', 33.27405095100403]
['unit.000337', u'pilot.0000', u'AgentStagingInputPending', 42.70807695388794]
['unit.000336', u'pilot.0000', u'AgentStagingInputPending', 42.70813608169556]
['unit.000339', u'pilot.0000', u'AgentStagingInputPending', 42.70819091796875]
['unit.000338', u'pilot.0000', u'AgentStagingInputPending', 42.70822596549988]
['unit.000179', u'pilot.0000', u'AgentStagingInputPending', 42.70842909812927]
['unit.000476', u'pilot.0000', u'AgentStagingInputPending', 42.70939612388611]
['unit.000182', u'pilot.0000', u'AgentStagingInputPending', 42.7102210521698]
['unit.000183', u'pilot.0000', u'AgentStagingInputPending', 42.710248947143555]
['unit.000180', u'pilot.0000', u'AgentStagingInputPending', 42.71027612686157]
['unit.000186', u'pilot.0000', u'PendingInputStaging', 42.710309982299805]
