running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016911.0000
['pilot.0000', 'PendingLaunch', 12.07463002204895]
['pilot.0000', u'Launching', 13.222211122512817]
['unit.000013', u'pilot.0000', u'PendingInputStaging', 17.49644112586975]
['unit.000118', u'pilot.0000', u'PendingInputStaging', 17.496546030044556]
['unit.000036', u'pilot.0000', u'PendingInputStaging', 17.49681806564331]
['unit.000037', u'pilot.0000', u'PendingInputStaging', 17.49685311317444]
['unit.000034', u'pilot.0000', u'PendingInputStaging', 17.496886014938354]
['unit.000035', u'pilot.0000', u'PendingInputStaging', 17.496917009353638]
['unit.000118', u'pilot.0000', u'StagingInput', 21.395294189453125]
['unit.000097', u'pilot.0000', u'PendingInputStaging', 21.395531177520752]
['unit.000036', u'pilot.0000', u'StagingInput', 21.395606994628906]
['unit.000034', u'pilot.0000', u'AgentStagingInputPending', 21.39564800262451]
['unit.000035', u'pilot.0000', u'AgentStagingInputPending', 21.395678997039795]
['unit.000038', u'pilot.0000', u'PendingInputStaging', 21.395711183547974]
['unit.000039', u'pilot.0000', u'PendingInputStaging', 21.39574098587036]
['unit.000041', u'pilot.0000', u'PendingInputStaging', 21.395811080932617]
['unit.000040', u'pilot.0000', u'PendingInputStaging', 21.3958420753479]
['unit.000108', u'pilot.0000', u'PendingInputStaging', 21.396112203598022]
['unit.000013', u'pilot.0000', u'AgentStagingInputPending', 26.312019109725952]
['unit.000119', u'pilot.0000', u'AgentStagingInputPending', 26.312133073806763]
['unit.000118', u'pilot.0000', u'AgentStagingInputPending', 26.31217908859253]
['unit.000097', u'pilot.0000', u'AgentStagingInputPending', 26.312502145767212]
['unit.000098', u'pilot.0000', u'PendingInputStaging', 26.31254506111145]
['unit.000036', u'pilot.0000', u'AgentStagingInputPending', 26.312631130218506]
['unit.000037', u'pilot.0000', u'AgentStagingInputPending', 26.312668085098267]
['unit.000038', u'pilot.0000', u'AgentStagingInputPending', 26.312726974487305]
['unit.000039', u'pilot.0000', u'AgentStagingInputPending', 26.312767028808594]
['unit.000047', u'pilot.0000', u'PendingInputStaging', 26.312815189361572]
