running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016911.0001
[None, u'Launching', 13.24896502494812]
['pilot.0000', u'Launching', 13.278200149536133]
['unit.000037', u'pilot.0000', u'PendingInputStaging', 26.858811140060425]
['unit.000058', u'pilot.0000', u'StagingInput', 26.858901977539062]
['unit.000018', u'pilot.0000', u'StagingInput', 26.85916805267334]
['unit.000037', u'pilot.0000', u'AgentStagingInputPending', 30.55532693862915]
['unit.000044', u'pilot.0000', u'AgentStagingInputPending', 30.5554461479187]
['unit.000036', u'pilot.0000', u'AgentStagingInputPending', 30.555504083633423]
['unit.000021', u'pilot.0000', u'AgentStagingInputPending', 30.555559158325195]
['unit.000058', u'pilot.0000', u'AgentStagingInputPending', 30.55559515953064]
['unit.000061', u'pilot.0000', u'AgentStagingInputPending', 30.555638074874878]
['unit.000063', u'pilot.0000', u'PendingInputStaging', 30.55567693710327]
['unit.000046', u'pilot.0000', u'AgentStagingInputPending', 30.555727005004883]
['unit.000007', u'pilot.0000', u'AgentStagingInputPending', 30.555819988250732]
['unit.000051', u'pilot.0000', u'AgentStagingInputPending', 30.555896043777466]
['unit.000018', u'pilot.0000', u'AgentStagingInputPending', 30.55593204498291]
['unit.000055', u'pilot.0000', u'AgentStagingInputPending', 30.555968046188354]
['unit.000027', u'pilot.0000', u'PendingInputStaging', 30.55600094795227]
['unit.000008', u'pilot.0000', u'StagingInput', 30.556034088134766]
['unit.000056', u'pilot.0000', u'AgentStagingInputPending', 30.556079149246216]
['unit.000006', u'pilot.0000', u'AgentStagingInputPending', 30.55611300468445]
['pilot.0000', u'PendingActive', 35.65284204483032]
['unit.000010', u'pilot.0000', u'AgentStagingInputPending', 35.84285116195679]
['unit.000011', u'pilot.0000', u'AgentStagingInputPending', 35.8429069519043]
['unit.000054', u'pilot.0000', u'AgentStagingInputPending', 35.842982053756714]
['unit.000053', u'pilot.0000', u'AgentStagingInputPending', 35.843048095703125]
['unit.000035', u'pilot.0000', u'AgentStagingInputPending', 35.84309005737305]
['unit.000063', u'pilot.0000', u'AgentStagingInputPending', 35.843199014663696]
['unit.000062', u'pilot.0000', u'AgentStagingInputPending', 35.84324407577515]
['unit.000043', u'pilot.0000', u'PendingInputStaging', 35.8432891368866]
['unit.000009', u'pilot.0000', u'AgentStagingInputPending', 35.84334111213684]
['unit.000042', u'pilot.0000', u'AgentStagingInputPending', 35.84347105026245]
['unit.000059', u'pilot.0000', u'PendingInputStaging', 35.84350895881653]
['unit.000022', u'pilot.0000', u'AgentStagingInputPending', 35.84355306625366]
['unit.000027', u'pilot.0000', u'AgentStagingInputPending', 35.84361410140991]
['unit.000041', u'pilot.0000', u'AgentStagingInputPending', 35.84365105628967]
['unit.000039', u'pilot.0000', u'AgentStagingInputPending', 35.84368705749512]
['unit.000045', u'pilot.0000', u'AgentStagingInputPending', 35.843727111816406]
['unit.000008', u'pilot.0000', u'AgentStagingInputPending', 35.84377193450928]
['unit.000034', u'pilot.0000', u'AgentStagingInputPending', 39.21124315261841]
['unit.000012', u'pilot.0000', u'AgentStagingInputPending', 39.21132707595825]
['unit.000016', u'pilot.0000', u'AgentStagingInputPending', 39.211395025253296]
['unit.000029', u'pilot.0000', u'AgentStagingInputPending', 39.211442947387695]
['unit.000019', u'pilot.0000', u'AgentStagingInputPending', 39.21152901649475]
['unit.000052', u'pilot.0000', u'StagingInput', 39.211570024490356]
['unit.000057', u'pilot.0000', u'AgentStagingInputPending', 39.211607933044434]
['unit.000028', u'pilot.0000', u'AgentStagingInputPending', 39.21165609359741]
['unit.000025', u'pilot.0000', u'AgentStagingInputPending', 39.21169400215149]
['unit.000015', u'pilot.0000', u'AgentStagingInputPending', 39.21173095703125]
['unit.000024', u'pilot.0000', u'AgentStagingInputPending', 39.2117760181427]
['unit.000000', u'pilot.0000', u'PendingInputStaging', 39.21185612678528]
['unit.000047', u'pilot.0000', u'AgentStagingInputPending', 39.211894035339355]
['unit.000043', u'pilot.0000', u'AgentStagingInputPending', 39.21196794509888]
['unit.000040', u'pilot.0000', u'AgentStagingInputPending', 39.212069034576416]
['unit.000013', u'pilot.0000', u'AgentStagingInputPending', 39.21217393875122]
['unit.000033', u'pilot.0000', u'AgentStagingInputPending', 39.212214946746826]
['unit.000059', u'pilot.0000', u'AgentStagingInputPending', 39.21225714683533]
['unit.000038', u'pilot.0000', u'AgentStagingInputPending', 39.21230602264404]
['unit.000049', u'pilot.0000', u'StagingInput', 39.212363958358765]
['unit.000014', u'pilot.0000', u'AgentStagingInputPending', 39.21240210533142]
['unit.000017', u'pilot.0000', u'AgentStagingInputPending', 42.58934807777405]
['unit.000005', u'pilot.0000', u'AgentStagingInputPending', 42.58941292762756]
['unit.000020', u'pilot.0000', u'AgentStagingInputPending', 42.589457988739014]
['unit.000001', u'pilot.0000', u'AgentStagingInputPending', 42.589503049850464]
['unit.000052', u'pilot.0000', u'AgentStagingInputPending', 42.589545011520386]
['unit.000032', u'pilot.0000', u'AgentStagingInputPending', 42.5895791053772]
['unit.000048', u'pilot.0000', u'AgentStagingInputPending', 42.58962893486023]
['unit.000060', u'pilot.0000', u'AgentStagingInputPending', 42.589694023132324]
['unit.000023', u'pilot.0000', u'AgentStagingInputPending', 42.589744091033936]
['unit.000000', u'pilot.0000', u'AgentStagingInputPending', 42.589898109436035]
['unit.000049', u'pilot.0000', u'AgentStagingInputPending', 42.589982986450195]
['unit.000004', u'pilot.0000', u'AgentStagingInputPending', 42.59001803398132]
['unit.000002', u'pilot.0000', u'AgentStagingInputPending', 42.590052127838135]
['unit.000026', u'pilot.0000', u'AgentStagingInputPending', 42.59008502960205]
['unit.000003', u'pilot.0000', u'AgentStagingInputPending', 42.59011697769165]
['unit.000030', u'pilot.0000', u'AgentStagingInputPending', 42.59014916419983]
['unit.000050', u'pilot.0000', u'AgentStagingInputPending', 42.59018111228943]
['unit.000031', u'pilot.0000', u'AgentStagingInputPending', 42.59021997451782]
['pilot.0000', u'Active', 234.1022789478302]
['unit.000018', u'pilot.0000', u'Executing', 242.33976793289185]
['unit.000055', u'pilot.0000', u'Allocating', 242.33982610702515]
['unit.000056', u'pilot.0000', u'Allocating', 242.33986496925354]
['unit.000057', u'pilot.0000', u'Allocating', 242.33990097045898]
['unit.000036', u'pilot.0000', u'Allocating', 242.33993697166443]
['unit.000037', u'pilot.0000', u'Allocating', 242.33997201919556]
['unit.000034', u'pilot.0000', u'Allocating', 242.34000611305237]
['unit.000035', u'pilot.0000', u'Allocating', 242.3400399684906]
['unit.000010', u'pilot.0000', u'Allocating', 242.34011101722717]
['unit.000011', u'pilot.0000', u'Allocating', 242.34015107154846]
['unit.000012', u'pilot.0000', u'Allocating', 242.34018516540527]
['unit.000039', u'pilot.0000', u'Allocating', 242.34021997451782]
['unit.000058', u'pilot.0000', u'Allocating', 242.34025502204895]
['unit.000009', u'pilot.0000', u'Allocating', 242.34028911590576]
['unit.000016', u'pilot.0000', u'Allocating', 242.340322971344]
['unit.000017', u'pilot.0000', u'Allocating', 242.34035897254944]
['unit.000008', u'pilot.0000', u'Allocating', 242.3403971195221]
['unit.000005', u'pilot.0000', u'Allocating', 242.34043192863464]
['unit.000029', u'pilot.0000', u'Allocating', 242.3404679298401]
['unit.000020', u'pilot.0000', u'Allocating', 242.34050393104553]
['unit.000051', u'pilot.0000', u'Allocating', 242.34053993225098]
['unit.000001', u'pilot.0000', u'Allocating', 242.34057593345642]
['unit.000019', u'pilot.0000', u'Allocating', 242.34061098098755]
['unit.000052', u'pilot.0000', u'Allocating', 242.340646982193]
['unit.000032', u'pilot.0000', u'Allocating', 242.3406810760498]
['unit.000053', u'pilot.0000', u'Allocating', 242.34071612358093]
['unit.000028', u'pilot.0000', u'Allocating', 242.3407609462738]
['unit.000048', u'pilot.0000', u'Allocating', 242.34079599380493]
['unit.000025', u'pilot.0000', u'Allocating', 242.34083795547485]
['unit.000015', u'pilot.0000', u'Allocating', 242.3408751487732]
