running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016911.0002
[None, u'Launching', 11.874157905578613]
['pilot.0000', u'Launching', 11.9479398727417]
['unit.000018', u'pilot.0000', u'PendingInputStaging', 25.07425093650818]
['unit.000019', u'pilot.0000', u'AgentStagingInputPending', 25.074317932128906]
['unit.000031', u'pilot.0000', u'AgentStagingInputPending', 25.074365854263306]
['unit.000010', u'pilot.0000', u'PendingInputStaging', 25.074405908584595]
['unit.000011', u'pilot.0000', u'PendingInputStaging', 25.074442863464355]
['unit.000017', u'pilot.0000', u'AgentStagingInputPending', 25.074509859085083]
['unit.000020', u'pilot.0000', u'AgentStagingInputPending', 25.07454776763916]
['unit.000024', u'pilot.0000', u'PendingInputStaging', 25.0745849609375]
['unit.000025', u'pilot.0000', u'PendingInputStaging', 25.074620962142944]
['unit.000002', u'pilot.0000', u'AgentStagingInputPending', 25.074657917022705]
['unit.000027', u'pilot.0000', u'PendingInputStaging', 25.074695825576782]
['unit.000009', u'pilot.0000', u'PendingInputStaging', 25.07473087310791]
['unit.000008', u'pilot.0000', u'PendingInputStaging', 25.074766874313354]
['unit.000028', u'pilot.0000', u'PendingInputStaging', 25.07481288909912]
['unit.000007', u'pilot.0000', u'AgentStagingInputPending', 25.074856996536255]
['unit.000001', u'pilot.0000', u'AgentStagingInputPending', 25.074894905090332]
['unit.000005', u'pilot.0000', u'AgentStagingInputPending', 25.074944972991943]
['unit.000004', u'pilot.0000', u'AgentStagingInputPending', 25.074976921081543]
['unit.000023', u'pilot.0000', u'AgentStagingInputPending', 25.07501196861267]
['unit.000026', u'pilot.0000', u'PendingInputStaging', 25.075050830841064]
['unit.000030', u'pilot.0000', u'PendingInputStaging', 28.27145481109619]
['unit.000010', u'pilot.0000', u'AgentStagingInputPending', 28.27150583267212]
['unit.000012', u'pilot.0000', u'PendingInputStaging', 28.271545886993408]
['unit.000013', u'pilot.0000', u'PendingInputStaging', 28.271575927734375]
['unit.000016', u'pilot.0000', u'PendingInputStaging', 28.271613836288452]
['unit.000025', u'pilot.0000', u'AgentStagingInputPending', 28.271655797958374]
['unit.000027', u'pilot.0000', u'StagingInput', 28.271690845489502]
['unit.000009', u'pilot.0000', u'AgentStagingInputPending', 28.27171778678894]
['unit.000008', u'pilot.0000', u'AgentStagingInputPending', 28.271744966506958]
['unit.000029', u'pilot.0000', u'PendingInputStaging', 28.27177381515503]
['unit.000024', u'pilot.0000', u'AgentStagingInputPending', 28.27181577682495]
['unit.000022', u'pilot.0000', u'PendingInputStaging', 28.271890878677368]
['unit.000026', u'pilot.0000', u'AgentStagingInputPending', 28.271925926208496]
['unit.000018', u'pilot.0000', u'AgentStagingInputPending', 31.461334943771362]
['unit.000030', u'pilot.0000', u'AgentStagingInputPending', 31.46138286590576]
['unit.000011', u'pilot.0000', u'AgentStagingInputPending', 31.46141791343689]
['unit.000012', u'pilot.0000', u'AgentStagingInputPending', 31.461439847946167]
